,id,description,latitude,longitude,stationDataOriginList
73,77,Weather Underground - Seclantas,-25.32,-66.24,"[{'id': 77, 'externalStationId': 'IMOLIN34', 'dimension': {'id': 3, 'description': 'lluvia', 'preferredUnit': {'id': 3, 'alias': 'mm', 'description': 'milimetro'}}, 'dataOrigin': {'id': 2, 'description': 'WeatherUnderground'}, 'defaultUnit': {'id': 4, 'alias': 'in', 'description': 'pulgada'}}]"
74,79,Weather Underground - San Jose UCASAL MATTEO,-24.73,-65.4,"[{'id': 79, 'externalStationId': 'ISALTA14', 'dimension': {'id': 3, 'description': 'lluvia', 'preferredUnit': {'id': 3, 'alias': 'mm', 'description': 'milimetro'}}, 'dataOrigin': {'id': 2, 'description': 'WeatherUnderground'}, 'defaultUnit': {'id': 4, 'alias': 'in', 'description': 'pulgada'}}]"
75,80,Weather Underground - CruzDelSur,-24.78,-65.42,"[{'id': 80, 'externalStationId': 'ISALTA30', 'dimension': {'id': 3, 'description': 'lluvia', 'preferredUnit': {'id': 3, 'alias': 'mm', 'description': 'milimetro'}}, 'dataOrigin': {'id': 2, 'description': 'WeatherUnderground'}, 'defaultUnit': {'id': 4, 'alias': 'in', 'description': 'pulgada'}}]"
76,22,Weather Underground - San Lorenzo,-24.74,-65.5,"[{'id': 19, 'externalStationId': 'ISALTA17', 'dimension': {'id': 3, 'description': 'lluvia', 'preferredUnit': {'id': 3, 'alias': 'mm', 'description': 'milimetro'}}, 'dataOrigin': {'id': 2, 'description': 'WeatherUnderground'}, 'defaultUnit': {'id': 4, 'alias': 'in', 'description': 'pulgada'}}]"
77,81,Weather Underground - Estacion San Lorenzo,-24.73,-65.48,"[{'id': 81, 'externalStationId': 'ISALTA34', 'dimension': {'id': 3, 'description': 'lluvia', 'preferredUnit': {'id': 3, 'alias': 'mm', 'description': 'milimetro'}}, 'dataOrigin': {'id': 2, 'description': 'WeatherUnderground'}, 'defaultUnit': {'id': 4, 'alias': 'in', 'description': 'pulgada'}}]"
78,82,AES - Escuela Moldes,-25.27,-65.47,"[{'id': 82, 'externalStationId': 'EscuelaMoldes', 'dimension': {'id': 3, 'description': 'lluvia', 'preferredUnit': {'id': 3, 'alias': 'mm', 'description': 'milimetro'}}, 'dataOrigin': {'id': 1, 'description': 'AES'}, 'defaultUnit': {'id': 3, 'alias': 'mm', 'description': 'milimetro'}}]"
79,83,Weather Underground - Infomet,-24.73,-65.42,"[{'id': 84, 'externalStationId': 'ISALTA31', 'dimension': {'id': 3, 'description': 'lluvia', 'preferredUnit': {'id': 3, 'alias': 'mm', 'description': 'milimetro'}}, 'dataOrigin': {'id': 2, 'description': 'WeatherUnderground'}, 'defaultUnit': {'id': 4, 'alias': 'in', 'description': 'pulgada'}}]"
80,85,Weatherlink - Escuela Coronel Moldes,-25.2809,-65.479,"[{'id': 86, 'externalStationId': '351e2b80-75a7-419d-a081-d8ab6ddd3051', 'dimension': {'id': 3, 'description': 'lluvia', 'preferredUnit': {'id': 3, 'alias': 'mm', 'description': 'milimetro'}}, 'dataOrigin': {'id': 8, 'description': 'Weatherlink'}, 'defaultUnit': {'id': 4, 'alias': 'in', 'description': 'pulgada'}}]"
81,87,Weatherlink - EMA Sur - Pampa Energía CTG,-24.6885,-65.0439,"[{'id': 88, 'externalStationId': '70d018b1-cfae-4ca6-b9b2-598bcd796cb3', 'dimension': {'id': 3, 'description': 'lluvia', 'preferredUnit': {'id': 3, 'alias': 'mm', 'description': 'milimetro'}}, 'dataOrigin': {'id': 8, 'description': 'Weatherlink'}, 'defaultUnit': {'id': 4, 'alias': 'in', 'description': 'pulgada'}}]"
82,84,Weatherlink - ERA 01 - Las Tolas,-24.8853,-66.7572,"[{'id': 85, 'externalStationId': 'bd59bd4c-cbec-40e1-a2d4-36f5feea3475', 'dimension': {'id': 3, 'description': 'lluvia', 'preferredUnit': {'id': 3, 'alias': 'mm', 'description': 'milimetro'}}, 'dataOrigin': {'id': 8, 'description': 'Weatherlink'}, 'defaultUnit': {'id': 4, 'alias': 'in', 'description': 'pulgada'}}]"
83,86,Weatherlink - EMA Norte - Pampa Energía CTG,-22.2036,-63.6667,"[{'id': 87, 'externalStationId': 'a9e1a996-c5ea-4ae1-a582-b46c64403c99', 'dimension': {'id': 3, 'description': 'lluvia', 'preferredUnit': {'id': 3, 'alias': 'mm', 'description': 'milimetro'}}, 'dataOrigin': {'id': 8, 'description': 'Weatherlink'}, 'defaultUnit': {'id': 4, 'alias': 'in', 'description': 'pulgada'}}]"
84,88,Weatherlink - EMA Nitratos Austin,-25.35,-64.4472,"[{'id': 89, 'externalStationId': 'f0805dcb-4b23-4e81-9a73-5e31c5e212dc', 'dimension': {'id': 3, 'description': 'lluvia', 'preferredUnit': {'id': 3, 'alias': 'mm', 'description': 'milimetro'}}, 'dataOrigin': {'id': 8, 'description': 'Weatherlink'}, 'defaultUnit': {'id': 4, 'alias': 'in', 'description': 'pulgada'}}]"
85,89,INTA - Sta Victoria O -EEA Abra Pampa,-22.25,-64.96,"[{'id': 90, 'externalStationId': '494', 'dimension': {'id': 3, 'description': 'lluvia', 'preferredUnit': {'id': 3, 'alias': 'mm', 'description': 'milimetro'}}, 'dataOrigin': {'id': 3, 'description': 'INTA'}, 'defaultUnit': {'id': 3, 'alias': 'mm', 'description': 'milimetro'}}]"
86,90,INTA - Santa Victoria Este - EEA Yuto,-22.27,-62.71,"[{'id': 91, 'externalStationId': '369', 'dimension': {'id': 3, 'description': 'lluvia', 'preferredUnit': {'id': 3, 'alias': 'mm', 'description': 'milimetro'}}, 'dataOrigin': {'id': 3, 'description': 'INTA'}, 'defaultUnit': {'id': 3, 'alias': 'mm', 'description': 'milimetro'}}]"
87,91,INTA - Trancas - EEA Famaillá,-26.28,-65.27,"[{'id': 92, 'externalStationId': '507', 'dimension': {'id': 3, 'description': 'lluvia', 'preferredUnit': {'id': 3, 'alias': 'mm', 'description': 'milimetro'}}, 'dataOrigin': {'id': 3, 'description': 'INTA'}, 'defaultUnit': {'id': 3, 'alias': 'mm', 'description': 'milimetro'}}]"
88,92,INTA - Morillo - EEA Salta,-23.46,-62.89,"[{'id': 93, 'externalStationId': '414', 'dimension': {'id': 3, 'description': 'lluvia', 'preferredUnit': {'id': 3, 'alias': 'mm', 'description': 'milimetro'}}, 'dataOrigin': {'id': 3, 'description': 'INTA'}, 'defaultUnit': {'id': 3, 'alias': 'mm', 'description': 'milimetro'}}]"
89,93,INTA - Taco Ralo - EEA Famailla,-27.83,-65.05,"[{'id': 94, 'externalStationId': '692', 'dimension': {'id': 3, 'description': 'lluvia', 'preferredUnit': {'id': 3, 'alias': 'mm', 'description': 'milimetro'}}, 'dataOrigin': {'id': 3, 'description': 'INTA'}, 'defaultUnit': {'id': 3, 'alias': 'mm', 'description': 'milimetro'}}]"
90,94,INTA - Famailla (EMC),-27.05,-65.42,"[{'id': 95, 'externalStationId': '68', 'dimension': {'id': 3, 'description': 'lluvia', 'preferredUnit': {'id': 3, 'alias': 'mm', 'description': 'milimetro'}}, 'dataOrigin': {'id': 3, 'description': 'INTA'}, 'defaultUnit': {'id': 3, 'alias': 'mm', 'description': 'milimetro'}}]"
91,95,INTA - Monte Quemado - EEA E Santiago,-25.86,-62.71,"[{'id': 96, 'externalStationId': '496', 'dimension': {'id': 3, 'description': 'lluvia', 'preferredUnit': {'id': 3, 'alias': 'mm', 'description': 'milimetro'}}, 'dataOrigin': {'id': 3, 'description': 'INTA'}, 'defaultUnit': {'id': 3, 'alias': 'mm', 'description': 'milimetro'}}]"
92,96,Weatherlink - Metan,-25.506801,-64.981216,"[{'id': 97, 'externalStationId': '9c4e35eb-9121-4c27-acac-f0901d51c5db', 'dimension': {'id': 3, 'description': 'lluvia', 'preferredUnit': {'id': 3, 'alias': 'mm', 'description': 'milimetro'}}, 'dataOrigin': {'id': 8, 'description': 'Weatherlink'}, 'defaultUnit': {'id': 4, 'alias': 'in', 'description': 'pulgada'}}]"
93,97,Weatherlink - PLR 02 Cerro,-26.236316,-65.494437,"[{'id': 98, 'externalStationId': '17d6d435-6e0f-439d-a252-a474ccaa9382', 'dimension': {'id': 3, 'description': 'lluvia', 'preferredUnit': {'id': 3, 'alias': 'mm', 'description': 'milimetro'}}, 'dataOrigin': {'id': 8, 'description': 'Weatherlink'}, 'defaultUnit': {'id': 4, 'alias': 'in', 'description': 'pulgada'}}]"
94,98,Weatherlink - Martillo Este,-26.062218,-67.407549,"[{'id': 99, 'externalStationId': '4a824103-5e7d-467d-b6bc-8434fce4c44a', 'dimension': {'id': 3, 'description': 'lluvia', 'preferredUnit': {'id': 3, 'alias': 'mm', 'description': 'milimetro'}}, 'dataOrigin': {'id': 8, 'description': 'Weatherlink'}, 'defaultUnit': {'id': 4, 'alias': 'in', 'description': 'pulgada'}}]"
95,99,Weatherlink - EMA - Esc. Agrot. Payogasta,-25.052811,-66.102293,"[{'id': 100, 'externalStationId': '6ba85f40-404a-4661-bcfe-93cbcac16031', 'dimension': {'id': 3, 'description': 'lluvia', 'preferredUnit': {'id': 3, 'alias': 'mm', 'description': 'milimetro'}}, 'dataOrigin': {'id': 8, 'description': 'Weatherlink'}, 'defaultUnit': {'id': 4, 'alias': 'in', 'description': 'pulgada'}}]"
96,100,Weather Underground - Cafayate,-26.07,-65.98,"[{'id': 101, 'externalStationId': 'ICAFAY2', 'dimension': {'id': 3, 'description': 'lluvia', 'preferredUnit': {'id': 3, 'alias': 'mm', 'description': 'milimetro'}}, 'dataOrigin': {'id': 2, 'description': 'WeatherUnderground'}, 'defaultUnit': {'id': 4, 'alias': 'in', 'description': 'pulgada'}}]"
97,101,Weather Underground - Rosario de la Frontera,-26.01,-64.69,"[{'id': 102, 'externalStationId': 'IROSAR87', 'dimension': {'id': 3, 'description': 'lluvia', 'preferredUnit': {'id': 3, 'alias': 'mm', 'description': 'milimetro'}}, 'dataOrigin': {'id': 2, 'description': 'WeatherUnderground'}, 'defaultUnit': {'id': 4, 'alias': 'in', 'description': 'pulgada'}}]"
98,102,Weather Underground - Embarcacion,-23.21,-64.03,"[{'id': 103, 'externalStationId': 'IGRLJOSD2', 'dimension': {'id': 3, 'description': 'lluvia', 'preferredUnit': {'id': 3, 'alias': 'mm', 'description': 'milimetro'}}, 'dataOrigin': {'id': 2, 'description': 'WeatherUnderground'}, 'defaultUnit': {'id': 4, 'alias': 'in', 'description': 'pulgada'}}]"
99,103,Weather Underground - San Luis UCASAL MATTEO,-24.85,-65.5,"[{'id': 106, 'externalStationId': 'ISALTA41', 'dimension': {'id': 3, 'description': 'lluvia', 'preferredUnit': {'id': 3, 'alias': 'mm', 'description': 'milimetro'}}, 'dataOrigin': {'id': 2, 'description': 'WeatherUnderground'}, 'defaultUnit': {'id': 4, 'alias': 'in', 'description': 'pulgada'}}]"
100,27,AES - Las viboras,-25.0729,-64.6461,"[{'id': 1, 'externalStationId': 'Cachi', 'dimension': {'id': 1, 'description': 'nivel', 'preferredUnit': {'id': 2, 'alias': 'm', 'description': 'metro'}}, 'dataOrigin': {'id': 1, 'description': 'AES'}, 'defaultUnit': None}]"
101,47,AES - Las viboras,-25.0729,-64.6463,"[{'id': 2, 'externalStationId': 'Cachi', 'dimension': {'id': 3, 'description': 'lluvia', 'preferredUnit': {'id': 3, 'alias': 'mm', 'description': 'milimetro'}}, 'dataOrigin': {'id': 1, 'description': 'AES'}, 'defaultUnit': None}]"
102,104,AES (IBU) - Cabra Corral,-25.265,-65.329,"[{'id': 107, 'externalStationId': 'CCOR_NIVEL', 'dimension': {'id': 1, 'description': 'nivel', 'preferredUnit': {'id': 2, 'alias': 'm', 'description': 'metro'}}, 'dataOrigin': {'id': 9, 'description': 'AesIbu'}, 'defaultUnit': {'id': 2, 'alias': 'm', 'description': 'metro'}}]"
103,105,AES (IBU) - PB,-25.297,-65.291,"[{'id': 108, 'externalStationId': 'PB_NIVEL', 'dimension': {'id': 1, 'description': 'nivel', 'preferredUnit': {'id': 2, 'alias': 'm', 'description': 'metro'}}, 'dataOrigin': {'id': 9, 'description': 'AesIbu'}, 'defaultUnit': {'id': 2, 'alias': 'm', 'description': 'metro'}}, {'id': 109, 'externalStationId': 'PB_CAUDAL', 'dimension': {'id': 2, 'description': 'caudal', 'preferredUnit': {'id': 5, 'alias': 'm3/sec', 'description': 'm3/sec'}}, 'dataOrigin': {'id': 9, 'description': 'AesIbu'}, 'defaultUnit': {'id': 5, 'alias': 'm3/sec', 'description': 'm3/sec'}}]"
104,106,AES (IBU) - El Tunal,-25.225,-64.48,"[{'id': 110, 'externalStationId': 'TUNA_NIVEL', 'dimension': {'id': 1, 'description': 'nivel', 'preferredUnit': {'id': 2, 'alias': 'm', 'description': 'metro'}}, 'dataOrigin': {'id': 9, 'description': 'AesIbu'}, 'defaultUnit': {'id': 2, 'alias': 'm', 'description': 'metro'}}, {'id': 111, 'externalStationId': 'TUNA_CAUDAL', 'dimension': {'id': 2, 'description': 'caudal', 'preferredUnit': {'id': 5, 'alias': 'm3/sec', 'description': 'm3/sec'}}, 'dataOrigin': {'id': 9, 'description': 'AesIbu'}, 'defaultUnit': {'id': 5, 'alias': 'm3/sec', 'description': 'm3/sec'}}]"
