,id,description,latitude,longitude,stationDataOriginList
21,24,Weather Underground - Santa Rosa de Chuschuyoc,-23.74,-65.47,"[{'id': 21, 'externalStationId': 'ITUMBA11', 'dimension': {'id': 3, 'description': 'lluvia', 'preferredUnit': {'id': 3, 'alias': 'mm', 'description': 'milimetro'}}, 'dataOrigin': {'id': 2, 'description': 'WeatherUnderground'}, 'defaultUnit': {'id': 4, 'alias': 'in', 'description': 'pulgada'}}]"
22,25,Weather Underground - Sargento Moya,-27.23,-65.66,"[{'id': 22, 'externalStationId': 'IMONTE19', 'dimension': {'id': 3, 'description': 'lluvia', 'preferredUnit': {'id': 3, 'alias': 'mm', 'description': 'milimetro'}}, 'dataOrigin': {'id': 2, 'description': 'WeatherUnderground'}, 'defaultUnit': {'id': 4, 'alias': 'in', 'description': 'pulgada'}}]"
23,26,Weather Underground - Daza Chaquiago,-27.55,-66.33,"[{'id': 23, 'externalStationId': 'IANDAL3', 'dimension': {'id': 3, 'description': 'lluvia', 'preferredUnit': {'id': 3, 'alias': 'mm', 'description': 'milimetro'}}, 'dataOrigin': {'id': 2, 'description': 'WeatherUnderground'}, 'defaultUnit': {'id': 4, 'alias': 'in', 'description': 'pulgada'}}]"
24,28,AES - Alemanía,-25.6235940086,-65.614427294,"[{'id': 48, 'externalStationId': 'Alemania', 'dimension': {'id': 1, 'description': 'nivel', 'preferredUnit': {'id': 2, 'alias': 'm', 'description': 'metro'}}, 'dataOrigin': {'id': 1, 'description': 'AES'}, 'defaultUnit': None}, {'id': 83, 'externalStationId': '', 'dimension': {'id': 2, 'description': 'caudal', 'preferredUnit': {'id': 5, 'alias': 'm3/sec', 'description': 'm3/sec'}}, 'dataOrigin': {'id': 7, 'description': 'HQ_model'}, 'defaultUnit': {'id': 5, 'alias': 'm3/sec', 'description': 'm3/sec'}}]"
25,29,INTA - Seclantás,-25.33,-66.25,"[{'id': 29, 'externalStationId': '352', 'dimension': {'id': 3, 'description': 'lluvia', 'preferredUnit': {'id': 3, 'alias': 'mm', 'description': 'milimetro'}}, 'dataOrigin': {'id': 3, 'description': 'INTA'}, 'defaultUnit': {'id': 3, 'alias': 'mm', 'description': 'milimetro'}}]"
26,30,AES - Arenales,-24.8421690677,-65.3746297723,[]
27,31,AES - Rosario,-25.0396741465,-65.4960715474,[]
28,32,AES - Campo Quijano,-24.8994205873,-65.664119313,"[{'id': 76, 'externalStationId': 'CampoQuijano', 'dimension': {'id': 1, 'description': 'nivel', 'preferredUnit': {'id': 2, 'alias': 'm', 'description': 'metro'}}, 'dataOrigin': {'id': 1, 'description': 'AES'}, 'defaultUnit': None}]"
29,33,AES - Alemania,-25.6235023877,-65.6146007827,"[{'id': 49, 'externalStationId': 'Alemania', 'dimension': {'id': 3, 'description': 'lluvia', 'preferredUnit': {'id': 3, 'alias': 'mm', 'description': 'milimetro'}}, 'dataOrigin': {'id': 1, 'description': 'AES'}, 'defaultUnit': None}]"
30,34,AES - PB,-25.2958435193,-65.2911257226,"[{'id': 12, 'externalStationId': 'PenasBlancas', 'dimension': {'id': 1, 'description': 'nivel', 'preferredUnit': {'id': 2, 'alias': 'm', 'description': 'metro'}}, 'dataOrigin': {'id': 1, 'description': 'AES'}, 'defaultUnit': {'id': 2, 'alias': 'm', 'description': 'metro'}}, {'id': 11, 'externalStationId': 'PenasBlancas', 'dimension': {'id': 2, 'description': 'caudal', 'preferredUnit': {'id': 5, 'alias': 'm3/sec', 'description': 'm3/sec'}}, 'dataOrigin': {'id': 1, 'description': 'AES'}, 'defaultUnit': {'id': 5, 'alias': 'm3/sec', 'description': 'm3/sec'}}]"
